PairName,diff
1225-Broadstone-DOC.png 1225-Broadstone-PDF.png,0.8834
1226-Wesley-DOC.png 1226-Wesley-PDF.png,0.8820
1227-Default-DOC.png 1227-Default-PDF.png,0.8793
1243-UP-DOC.png 1243-UP-PDF.png,0.8757
1244-Sea Horse-DOC.png 1244-Sea Horse-PDF.png,0.9175
1246-Westmore-DOC.png 1246-Westmore-PDF.png,0.8839
1247-Picton-DOC.png 1247-Picton-PDF.png,0.8840
1248-Alpha Maritime-DOC.png 1248-Alpha Maritime-PDF.png,0.8812
1249-Bitumen Marine-DOC.png 1249-Bitumen Marine-PDF.png,0.8812
1250-Delta Shipping-DOC.png 1250-Delta Shipping-PDF.png,0.8812
1251-Pacific Bitumen Shipping-DOC.png 1251-Pacific Bitumen Shipping-PDF.png,0.8789
1252-Reta Link-DOC.png 1252-Reta Link-PDF.png,0.8514
1253-Tasco Shipping-DOC.png 1253-Tasco Shipping-PDF.png,0.8812
1254-Ad Shipping-DOC.png 1254-Ad Shipping-PDF.png,0.8790
1256-Default-DOC.png 1256-Default-PDF.png,0.8793
1278-Dean-DOC.png 1278-Dean-PDF.png,0.8889
1279-Dean-DOC.png 1279-Dean-PDF.png,0.8905
1282-Kyklades Accounting-DOC.png 1282-Kyklades Accounting-PDF.png,0.8744
1283-Okeanis Accounting-DOC.png 1283-Okeanis Accounting-PDF.png,0.7866
1295-Mjolner Product Solutions-DOC.png 1295-Mjolner Product Solutions-PDF.png,0.8140
1296-Default-DOC.png 1296-Default-PDF.png,0.8793
1297-Default-DOC.png 1297-Default-PDF.png,0.8793
1298-Default-DOC.png 1298-Default-PDF.png,0.8793
13-Default-DOC.png 13-Default-PDF.png,0.8793
1301-NON EURO-DOC.png 1301-NON EURO-PDF.png,0.8776
1302-EURO-DOC.png 1302-EURO-PDF.png,0.8773
1312-Anavatos II-DOC.png 1312-Anavatos II-PDF.png,0.9142
1315-Barnet-DOC.png 1315-Barnet-PDF.png,0.8888
1317-Fulmar-DOC.png 1317-Fulmar-PDF.png,0.8722
1318-Default-DOC.png 1318-Default-PDF.png,0.8793
1320-Default-DOC.png 1320-Default-PDF.png,0.8793
1321-Default-DOC.png 1321-Default-PDF.png,0.8793
1338-Default-DOC.png 1338-Default-PDF.png,0.8728
1344-Mjolner CPP Pool-DOC.png 1344-Mjolner CPP Pool-PDF.png,0.8003
1351-HRRC-DOC.png 1351-HRRC-PDF.png,0.8748
1352-Carlton-DOC.png 1352-Carlton-PDF.png,0.8776
1367-Weymouth-DOC.png 1367-Weymouth-PDF.png,0.8455
